SessionID,DeviseID,UserID,Date,Year,TimeStamp,X,Y,Z,Activity
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2341375, -3.135777, 8.26106, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1850286, -3.206446, 8.237104, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1706553, -3.172908, 8.211951, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2233577, -3.1321838, 8.273038, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2784553, -3.1237993, 8.26106, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.262884, -3.1489527, 8.274236, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.238929, -3.1549416, 8.249083, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1502934, -3.1621282, 8.241896, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.113162, -3.2196214, 8.22872, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.140711, -3.152546, 8.211951, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1694574, -3.1226015, 8.265851, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.238929, -3.1597326, 8.279026, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2916307, -3.0914595, 8.252675, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2029953, -3.147755, 8.233511, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.180238, -3.1776993, 8.213149, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1838307, -3.1273928, 8.235907, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.214973, -3.1705127, 8.310168, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2556977, -3.104635, 8.279026, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.204193, -3.130986, 8.270642, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1275353, -3.109426, 8.240698, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1215467, -3.1669192, 8.210753, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1850286, -3.1645238, 8.2395, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.248511, -3.1321838, 8.287411, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.236533, -3.0734928, 8.282619, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2125773, -3.087866, 8.289806, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1706553, -3.092657, 8.257466, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1814356, -3.1537437, 8.277829, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.216171, -3.1154149, 8.280224, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.236533, -3.1034372, 8.277829, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1706553, -3.0734928, 8.2395, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1670623, -3.1178105, 8.249083, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.194611, -3.093855, 8.270642, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.247313, -3.1082282, 8.312564, Sitting, 
